asset_id,name,svg_file,png_file,width,height,status,notes
ARC-001,ARC-001_arc-mark,assets/svg/ARC-001_arc-mark.svg,assets/png/ARC-001_arc-mark.png,512,512,ORIGINAL_RECREATION,"Original abstract arc/continuity mark. Add the word ARC as live text in the interface."
ARC-002,ARC-002_planner-paper,assets/svg/ARC-002_planner-paper.svg,assets/png/ARC-002_planner-paper.png,1200,800,ORIGINAL_RECREATION,"Original neutral paper texture. Designed to tile or crop; no Canva source."
ARC-003,ARC-003_calendar-shell,assets/svg/ARC-003_calendar-shell.svg,assets/png/ARC-003_calendar-shell.png,1600,1000,ORIGINAL_RECREATION,"Static original book/paper surface only. Render the actual calendar grid and all changing content as live code."
ARC-004,ARC-004_settings-tab-closed,assets/svg/ARC-004_settings-tab-closed.svg,assets/png/ARC-004_settings-tab-closed.png,220,420,ORIGINAL_RECREATION,"Original closed left-edge furniture silhouette. Keep label and controls live."
ARC-005,ARC-005_settings-surface-open,assets/svg/ARC-005_settings-surface-open.svg,assets/png/ARC-005_settings-surface-open.png,720,1000,ORIGINAL_RECREATION,"Original open Settings furniture surface. All settings text and controls remain live HTML."
ARC-006,ARC-006_fridge-tab-closed,assets/svg/ARC-006_fridge-tab-closed.svg,assets/png/ARC-006_fridge-tab-closed.png,220,420,ORIGINAL_RECREATION,"Original closed right-edge Fridge silhouette. Keep label and interactions live."
ARC-007,ARC-007_fridge-surface-open,assets/svg/ARC-007_fridge-surface-open.svg,assets/png/ARC-007_fridge-surface-open.png,720,1000,ORIGINAL_RECREATION,"Original open Fridge furniture surface. Content, fields, and object states remain live."
ARC-008,ARC-008_taskbar-tab-closed,assets/svg/ARC-008_taskbar-tab-closed.svg,assets/png/ARC-008_taskbar-tab-closed.png,720,220,ORIGINAL_RECREATION,"Original compact bottom-edge Task Bar silhouette. Keep TASKS label live."
ARC-009,ARC-009_taskbar-surface-open,assets/svg/ARC-009_taskbar-surface-open.svg,assets/png/ARC-009_taskbar-surface-open.png,1600,560,ORIGINAL_RECREATION,"Original open Task Bar surface. Columns, tasks, checkboxes, and controls remain live."
ARC-010,ARC-010_unit-magnet,assets/svg/ARC-010_unit-magnet.svg,assets/png/ARC-010_unit-magnet.png,360,360,ORIGINAL_RECREATION,"Original circular Unit object. Add title and state as live content."
ARC-011,ARC-011_lesson-paper,assets/svg/ARC-011_lesson-paper.svg,assets/png/ARC-011_lesson-paper.png,420,420,ORIGINAL_RECREATION,"Original lesson paper silhouette. Dynamic lesson content remains live."
ARC-012,ARC-012_note-paper,assets/svg/ARC-012_note-paper.svg,assets/png/ARC-012_note-paper.png,420,420,ORIGINAL_RECREATION,"Original Note paper silhouette. Dynamic note content remains live."
ARC-013,ARC-013_important-circle,assets/svg/ARC-013_important-circle.svg,assets/png/ARC-013_important-circle.png,512,512,ORIGINAL_RECREATION,"Original hand-drawn-style important circle. Importance must also be represented semantically in code."
ARC-014,ARC-014_add-mark,assets/svg/ARC-014_add-mark.svg,assets/png/ARC-014_add-mark.png,256,256,ORIGINAL_RECREATION,"Original utility add icon."
ARC-015,ARC-015_fridge-artwork,assets/svg/ARC-015_fridge-artwork.svg,assets/png/ARC-015_fridge-artwork.png,800,800,ORIGINAL_RECREATION,"Original abstract classroom-studio collage for the Fridge. No text, characters, or third-party motifs."
ARC-016,ARC-016_settings-texture,assets/svg/ARC-016_settings-texture.svg,assets/png/ARC-016_settings-texture.png,800,800,ORIGINAL_RECREATION,"Original yellow paper texture."
ARC-017,ARC-017_fridge-texture,assets/svg/ARC-017_fridge-texture.svg,assets/png/ARC-017_fridge-texture.png,800,800,ORIGINAL_RECREATION,"Original dusty-blue furniture texture."
ARC-018,ARC-018_taskbar-texture,assets/svg/ARC-018_taskbar-texture.svg,assets/png/ARC-018_taskbar-texture.png,800,800,ORIGINAL_RECREATION,"Original kraft-paper texture."
ARC-019,ARC-019_tab-icons,assets/svg/ARC-019_tab-icons.svg,assets/png/ARC-019_tab-icons.png,900,300,ORIGINAL_RECREATION,"Original settings, fridge/list, and task/drawer utility icon family."
ARC-020,ARC-020_creation-stickers,assets/svg/ARC-020_creation-stickers.svg,assets/png/ARC-020_creation-stickers.png,1000,420,ORIGINAL_RECREATION,"Original optional creation accents. Decorative only; defer until the core calendar is stable."
ARC-021,ARC-021_drawer-entry-field,assets/svg/ARC-021_drawer-entry-field.svg,assets/png/ARC-021_drawer-entry-field.png,1200,260,ORIGINAL_RECREATION,"Visual reference for a live accessible input. Rebuild the final control in HTML/CSS."
